date,price,size
2011-03-07,20.5,200
2011-03-09,20.75,230
2011-03-10,20.99,260
2011-03-11,21.24,290
2011-03-14,21.48,320
2011-03-15,21.71,350
2011-03-16,21.95,380
2011-03-17,22.17,410
2011-03-18,22.4,440
2011-03-21,22.61,470
2011-03-22,22.82,500
2011-03-23,23.03,530
2011-03-24,23.22,560
2011-03-25,23.41,590
2011-03-29,23.59,620
2011-03-30,23.76,650
2011-04-01,23.92,680
2011-04-04,24.07,710
2011-04-05,24.21,740
2011-04-06,24.34,770
2011-04-07,24.46,800
2011-04-08,24.56,830
2011-04-11,24.66,860
2011-04-12,24.74,890
2011-04-14,24.82,920
2011-04-15,24.88,950
2011-04-18,24.93,980
2011-04-20,24.96,1010
2011-04-21,24.99,1040
2011-04-22,25,1070
2011-04-25,25,1100
2011-04-26,24.98,1130
2011-04-27,24.96,1160
2011-04-28,24.92,1190
2011-04-29,24.87,1220
2011-05-02,24.81,1250
2011-05-03,24.73,1280
2011-05-04,24.64,1310
2011-05-05,24.55,1340
2011-05-06,24.44,1370
2011-05-09,24.32,1400
2011-05-10,24.18,1430
2011-05-11,24.04,1460
2011-05-12,23.89,1490
2011-05-13,23.73,1520
