date,AAPL,AIG,IBM
2010-10-04,26.94,29.8,36.36
2010-10-05,27.82,30.83,36.52
2010-10-06,28.02,31.48,36.91
2010-10-07,27.97,31.23,37.25
2010-10-08,27.9,30.32,37.42
2010-10-11,28.41,30.81,37.29
2010-10-12,28.15,30.05,36.89
2010-10-13,27.5,29.59,36.95
2010-10-14,27.27,28.99,36.61
2010-10-15,26.78,27.8,35.92
2010-10-18,26.28,27.28,35.42
2010-10-19,26.16,26.83,35.32
2010-10-20,26.13,26.95,35.81
2010-10-21,26.19,27.28,35.88
2010-10-22,26.63,28.09,36.2
2010-10-25,27.24,28.33,35.95
2010-10-26,27.67,28.45,35.64
2010-10-27,27.8,27.77,35.54
2010-10-28,27.79,27.87,35.64
2010-10-29,27.65,27.7,36.24
2010-11-01,27.89,27.95,36.5
2010-11-02,27.76,28.5,36.82
2010-11-03,28.09,28.84,36.59
2010-11-04,28.02,29.44,36.38
2010-11-05,27.34,28.98,36.46
2010-11-08,28.09,29.38,36.9
2010-11-09,27.62,28.93,37.16
2010-11-10,28.15,29.55,37.45
2010-11-11,27.8,29.47,37.48
2010-11-12,27.69,29.76,37.27
2010-11-15,26.84,29.6,37.29
2010-11-16,26.82,29.49,36.9
2010-11-17,26.12,29.38,36.86
2010-11-18,26.01,29.49,36.72
2010-11-19,26.03,30.29,37.1
2010-11-22,25.96,30.27,37.58
2010-11-23,25.97,30.83,37.74
2010-11-24,26.41,30.98,37.22
2010-11-25,26.9,31.38,37.82
2010-11-26,26.99,31.8,37.6
2010-11-29,26.84,31.73,38.19
2010-11-30,27.75,32.88,39.03
2010-12-01,27.76,32.67,38.92
2010-12-02,27.52,32.74,39
2010-12-03,27.66,33.05,39.87
2010-12-06,27.56,33.04,39.38
2010-12-07,27.37,32.71,39.72
2010-12-08,27.62,33.04,39.3
2010-12-09,27.79,33.15,39.9
2010-12-10,27.69,33.37,40.43
2010-12-13,26.91,32.42,39.76
2010-12-14,26.87,32.11,39.82
2010-12-15,26.72,32.38,40.09
2010-12-16,26.42,32.16,40.05
2010-12-17,26.11,32.13,40.6
2010-12-20,26.06,31.68,41.06
2010-12-21,26.21,31.03,41.1
2010-12-22,26.63,31.32,41.58
2010-12-23,25.76,30.43,40.23
2010-12-24,25.79,30.18,39.9
2010-12-27,25.58,30.7,39.28
2010-12-28,25.81,31.25,38.76
2010-12-29,25.63,31.3,38.35
2010-12-30,25.9,31.49,38.3
2010-12-31,25.69,31.45,37.59
